QoQ,AASPREAD_QCH_LAG0,DJIA_QLG_LAG0,DJTS_QLG_LAG0,EAFE_QLG_LAG0,GL_VIXA_QCH_LAG0,IGSPREAD_QCH_LAG0,SP500_QLG_LAG0,US_BAAYLD_QCH_LAG0,US_BABX_QLG_LAG0,US_COPF_QLG_LAG0,US_GDP_N_QLG_LAG0,US_INC_N_QLG_LAG0,US_LIBOR1M_QCH_LAG0,US_LIBOR1Y_QCH_LAG0,US_LIBOR3M_QCH_LAG0,US_LIBOR6M_QCH_LAG0,US_M2_N_QLG_LAG0,US_TYLD10Y_QCH_LAG0,US_TYLD1Y_QCH_LAG0,US_TYLD3M_QCH_LAG0,US_TYLD5Y_QCH_LAG0,US_TYLD6M_QCH_LAG0,US_VIXMAX_QCH_LAG0
0.019652824,0.07,0.007649427,-0.004684356,-0.020370376,-1.06,0.08,-0.003929872,-0.22,0.022677797,0.070157582,0.01367054,0.008257223,-0.06,-0.03,-0.05,-0.04,0.016989875,-0.25,-0.06,-0.08,-0.26,-0.07,-6.7
0.021356662,0.43,-0.128857642,-0.170237533,-0.178517825,12.83,0.78,-0.154630375,-0.28,0.037489839,0.014791284,0.006156716,0.010101588,0.01,0.04,0.04,0.05,0.037445703,-0.78,-0.08,-0.03,-0.71,-0.04,25.3
-0.006815381,-0.16,0.112886143,0.108854597,0.035211753,-0.32,-0.01,0.105749339,-0.2,0.011136479,0.074166889,0.013036848,0.005766063,0.05,0.21,0.18,0.22,0.024033705,-0.38,-0.02,-0.01,-0.2,-0.01,-2.5
-0.055561721,-0.22,0.078247972,0.116470447,0.089281193,-11.67,-0.56,0.113320166,-0.16,0.002990214,0.033687079,0.014037061,0.02246181,0,0.08,0.03,0.08,0.018515712,-0.01,0.05,0.06,-0.05,0.06,-22.5
-0.009965324,0.2,-0.025442023,-0.036714337,-0.069251496,1.71,0.21,-0.033424269,-0.14,0.020464067,-0.00927471,0.008236997,0.011618268,-0.02,-0.02,-0.04,-0.04,0.011517804,-0.22,0.03,0.02,-0.11,0.04,3.7
0.005004971,-0.08,0.042336053,0.054816463,0.038341553,-3.8,-0.38,0.056028067,-0.37,0.015716448,-0.010770838,0.006473433,-0.002253951,0,-0.02,-0.05,-0.02,0.014918556,-0.18,-0.01,0.01,-0.12,-0.01,-6.2
0.003564531,-0.11,-0.02509438,-0.004022932,0.068670135,0.58,-0.13,-0.010115542,-0.16,0.002116748,-0.00692429,0.006236204,0.033718045,-0.03,-0.16,-0.1,-0.17,0.028722473,0.07,-0.01,-0.01,0.02,0,2.2
-0.019349381,0.18,0.106622682,0.100067088,0.085223681,-3.22,-0.01,0.095552371,0.2,-0.001247796,0.005966846,0.012797599,-0.027571145,-0.01,-0.11,-0.03,-0.07,0.015683517,0.24,-0.02,0,0.14,-0.03,-3.7
-0.003809572,-0.3,0.02245746,0.022619492,0.000592663,1.37,0.14,0.023367462,0.08,-0.023508525,0.008384215,0.004113534,0.009510951,0,-0.07,-0.01,-0.05,0.008297076,0.05,-0.02,-0.04,0.09,-0.02,1.5
0.004736845,0.26,0.014654399,0.054928912,0.066691374,-0.62,-0.09,0.045812324,0.6,0.005652864,0.00543466,0.012590277,0.006838959,-0.01,-0.03,-0.02,-0.03,0.010879094,0.71,-0.01,-0.02,0.59,-0.03,-3.5
-0.014730623,-0.43,0.091338395,0.091355243,0.058346293,-0.12,-0.24,0.094574679,-0.03,-0.001327214,0.018133042,0.013816168,0.008688954,-0.02,-0.08,-0.02,-0.04,0.024187859,0.04,0,0.03,-0.07,0.03,3.3
0.002592188,0.07,-0.007204642,0.015233755,-0.009350281,0.68,-0.08,0.012847222,-0.25,0.018259589,-0.032254458,0.001158369,0.020954434,-0.01,-0.03,0,-0.02,0.015624119,0.01,0,-0.01,0.16,-0.01,1.1
-0.011013206,0.01,0.022167515,0.042583501,0.022440017,-2.11,-0.07,0.045878887,-0.31,0.020224441,0.074374501,0.018703827,0.015721392,-0.01,-0.02,-0.01,-0.01,0.0121861,-0.14,-0.02,-0.02,0.06,-0.03,-4.4
0.028323862,-0.05,0.012772727,-0.005357395,0.003811491,0.35,0.11,0.006153866,-0.13,0.001649331,0.024281457,0.016730792,0.014790201,0,0.02,0,0.01,0.010061837,-0.12,0.01,0,0.04,0,0
-0.008953705,0.04,0.044761674,0.046126687,0.014494487,2.83,0.18,0.042971485,-0.03,0.01780869,-0.009457421,0.006676384,0.012217968,0.01,0.01,0.01,0,0.018157699,-0.22,0.04,-0.01,-0.1,0.03,9.3
-0.008031314,0.06,-0.00264051,0.013122635,0.096525493,0.69,-0.01,0.00436174,-0.23,0.015905011,-0.015901395,0.007366917,0.011120794,0.01,0.09,0.02,0.05,0.018442028,-0.31,0.07,0.01,-0.15,0.01,-3.9
0.003826098,0.14,-0.008848615,-0.003539582,-0.028370697,-2.89,0.13,-0.002323894,0.31,-0.016949998,-0.014730449,0.01386528,0.013507733,0.01,0.07,0.02,0.04,0.008768631,0.2,0.03,-0.01,0.07,0,-3.5
0.04364612,0.25,-0.078780227,-0.080427648,-0.09975967,5.67,0.23,-0.07188452,0.32,0.012210164,-0.022072979,0.006007832,0.010227023,0.02,0.09,0.03,0.09,0.009646216,0.05,0.1,0.02,0.03,0.08,21.8
0.0027728,-0.28,0.06767994,0.055620493,0.058203783,-2.38,-0.05,0.062534561,0.09,-0.005696841,-0.060326845,0.001270257,0.002471238,0.05,0.13,0.1,0.12,0.018496992,-0.03,0.11,0.09,0.04,0.14,-16.3
0.031784423,0.25,0.014816521,0.003713318,-0.07508004,3.69,-0.01,0.007700594,0.03,0.029880459,0.030017007,0.00297578,0.004046681,0.18,0.22,0.21,0.25,0.021073754,-0.27,0.12,0.16,-0.22,0.14,3.7
-0.020206348,-0.01,0.01375281,0.020659179,-0.019441029,-5.06,-0.07,0.018853057,-0.57,0.021887948,0.011213953,0.012502255,0.005322405,0.01,0.08,0.02,0.04,0.015693448,-0.17,-0.01,-0.03,-0.13,-0.05,-2.3
-0.004651415,-0.22,0.020873759,0.038430589,0.052604798,-2.38,-0.16,0.032530052,-0.38,0.004575991,0.013243923,0.008488231,0.008633004,0.07,0.21,0.15,0.23,0.014059671,-0.19,-0.01,0.04,-0.11,0.04,-7.7
-0.007297706,-0.23,0.076442216,0.035334081,0.065033614,0.84,-0.13,0.031996558,0.38,-0.030201129,0.018318903,0.00950805,0.011143204,0.09,0.16,0.13,0.13,0.019599986,0.57,0.2,0.13,0.48,0.13,4.4
-0.010769892,-0.01,0.044563078,0.051558975,0.038771876,-2.42,-0.06,0.053865025,0.07,0.008113124,-0.012807366,0.00961682,0.015329737,0.23,0.13,0.15,0.09,0.012789045,0.31,0.13,0.17,0.33,0.15,-9.4
-0.004985887,-0.2,0.032678664,0.024851531,0.016466956,-0.18,-0.09,0.02536648,-0.17,0.014350737,0.016211095,0.01020213,0.007009655,0.23,0,0.13,0.05,0.011910042,-0.18,0.23,0.3,-0.13,0.31,2.9
0.00156305,-0.08,0.048255607,0.039928461,0.027359518,-0.61,-0.07,0.038849265,-0.16,0.008473375,0.005536214,0.011759646,0.010346264,0.17,-0.02,0.12,0.04,0.009309655,-0.02,0.12,0.16,0.01,0.11,0
0.00342342,-0.23,0.098291658,0.056672608,0.032835643,-0.58,-0.07,0.059405101,-0.08,0.003867909,0.023332353,0.012364471,0.012236095,0.11,0.19,0.15,0.19,0.013818428,0.13,0.31,0.17,0.25,0.24,-2.9
0.008148165,0.02,-0.025239807,-0.010542053,-0.050570098,7.2,0.14,-0.012306111,0.18,-0.014718817,0.012292207,0.010493465,0.012555979,0.31,0.47,0.46,0.46,0.00549448,0.39,0.39,0.35,0.47,0.4,24.2
-0.0145014,0.08,0.00695824,0.033426935,0.022782064,-2.15,0.13,0.028923704,0.29,-0.001588168,0.029416548,0.018337889,0.008480498,0.32,0.36,0.41,0.39,0.009753382,0.16,0.31,0.3,0.23,0.27,-13.7
-0.005589859,-0.17,0.086271206,0.064148176,0.017512049,-2.49,-0.16,0.069483236,0.05,0.000198659,0.034280555,0.011994271,0.010853085,0.14,0.08,0,0.04,0.008544242,0.01,0.22,0.2,0.04,0.2,-7.5
0.004930341,0.38,-0.125936987,-0.160053649,-0.133717406,8.36,0.43,-0.150479778,0.3,0.016206054,-0.004188895,0.009965572,0.010013523,0.24,0.24,0.29,0.27,0.01021356,0.1,0.2,0.28,0.07,0.26,20
